TOXCODE,toxic,lars,lcad,lchr,lcop,llead,lmerc,lnick,lsilv,lzinc,lacen,lacpt,lanth,lbaa,lban,lbap,lchry,lflan,lflen,lmeth,lnapt,lphen,lpyre
T,1,5.393627546,-0.094310679,,4.86753445,4.700480366,-0.274436846,4.356708827,-0.733969175,6.253828812,5.480638923,2.674148649,4.941642423,5.135798437,2.674148649,4.564348191,5.634789603,5.966146739,5.799092654,4.204692619,4.700480366,6.461468176,6.684611728
T,1,1.740466175,-0.083381609,,3.784189634,2.772588722,-0.544727175,4.060443011,-1.139434283,4.543294782,3.63758616,2.48490665,4.043051268,4.59511985,2.48490665,3.988984047,4.787491743,5.598421959,4.158883083,4.262679877,4.700480366,5.298317367,6.040254711
T,1,1.722766598,-0.061875404,,3.713572067,2.397895273,-0.342490309,4.060443011,-1.049822124,4.521788577,3.091042453,2.397895273,3.496507561,4.17438727,2.397895273,3.401197382,4.382026635,5.135798437,3.401197382,3.401197382,4.025351691,4.532599493,5.347107531
T,1,2.041220329,0.262364264,,4.043051268,2.708050201,-0.15082289,4.418840608,-0.713349888,4.787491743,2.602689685,2.602689685,3.610917913,4.317488114,2.602689685,3.80666249,4.59511985,5.135798437,3.610917913,3.36729583,3.871201011,4.510859507,5.521460918
T,1,2.251291799,0,,3.761200116,2.564949357,-0.198450939,3.912023005,-3.101092789,4.700480366,2.397895273,2.397895273,2.397895273,3.33220451,2.397895273,2.397895273,3.555348061,4.234106505,2.397895273,2.397895273,2.397895273,3.663561646,4.382026635
T,1,2.397895273,0.336472237,,4.127134385,3.135494216,0.182321557,4.442651256,-3.101092789,4.86753445,2.674148649,2.674148649,2.674148649,4.060443011,2.674148649,3.465735903,4.356708827,4.86753445,3.36729583,2.674148649,3.951243719,4.317488114,5.298317367
T,1,2.564949357,0.587786665,,3.044522438,2.397895273,-0.653926467,3.63758616,-3.101092789,4.17438727,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357,2.564949357
T,1,2.48490665,0.09531018,,3.931825633,2.708050201,0.405465108,4.49980967,-2.995732274,4.700480366,2.708050201,2.708050201,2.708050201,2.708050201,2.708050201,2.708050201,2.708050201,3.663561646,2.708050201,2.708050201,2.708050201,2.708050201,3.951243719
T,1,1.791759469,0.262364264,,4.043051268,3.828641396,0.09531018,4.941642423,-0.820980552,5.247024072,5.560681631,2.708050201,5.768320996,6.907755279,2.708050201,5.347107531,6.620073207,7.696212639,5.703782475,5.075173815,5.393627546,7.003065459,7.824046011
T,1,1.568615918,0.262364264,,3.988984047,3.526360525,0.09531018,4.787491743,-1.237874356,4.941642423,3.688879454,2.674148649,4.700480366,5.192956851,2.674148649,4.553876892,5.560681631,6.109247583,4.007333185,3.761200116,4.110873864,5.247024072,6.65929392
T,1,1.704748092,0.182321557,,3.688879454,3.091042453,-0.458865885,4.094344562,-0.072570693,4.521788577,2.564949357,2.564949357,5.192956851,6.620073207,3.433987204,5.966146739,7.244227516,7.170119543,3.713572067,2.564949357,3.33220451,5.192956851,7.43838353
T,1,0.500775288,-1.46967597,,2.772588722,0.78845736,-1.320506621,3.33220451,-3.352407217,3.784189634,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.890371758,3.36729583,2.197224577,2.197224577,2.197224577,2.197224577,3.496507561
F,0,3.891820298,-0.820980552,2.995732274,4.32677816,3.828641396,-1.514127733,2.525728644,-1.139434283,4.513054897,3.784189634,2.708050201,4.86753445,5.075173815,3.80666249,4.941642423,5.991464547,6.173786104,4.143134726,3.912023005,5.298317367,5.799092654,6.152732695
F,0,3.970291914,-0.616186139,2.928523524,4.15575319,3.937690752,-0.653926467,2.517696473,-1.30933332,4.502029427,5.429345629,3.784189634,5.874930731,6.646390515,4.812184355,6.56526497,7.029972912,7.668561108,5.393627546,4.934473933,6.388561406,6.551080335,7.414572881
F,0,2.708050201,-2.995732274,2.406945108,3.250374492,2.740840024,-2.525728644,2.197224577,-2.525728644,3.62700405,4.454347296,3.688879454,4.430816799,5.736572297,4.025351691,5.886104031,5.857933154,6.8134446,4.941642423,4.605170186,0.916290732,5.634789603,6.461468176
F,0,3.218875825,-2.995732274,2.564949357,3.456316681,2.895911938,-2.040220829,2.397895273,-1.832581464,3.696351469,2.302585093,1.791759469,2.995732274,3.737669618,2.014903021,3.850147602,4.454347296,4.787491743,2.803360381,3.871201011,4.382026635,4.744932128,4.700480366
F,0,3.784189634,-1.30933332,2.862200881,3.974058396,3.443618098,-2.120263536,2.501435952,-1.714798428,4.302712828,2.944438979,2.054123734,3.871201011,4.700480366,-0.693147181,4.86753445,5.560681631,5.768320996,3.295836866,3.17805383,4.700480366,5.135798437,5.560681631
T,1,3.828641396,-0.693147181,2.912350665,2.397895273,4.077537444,-1.514127733,2.493205453,-1.514127733,4.773223771,4.532599493,2.63905733,5.669880923,5.828945618,3.912023005,5.521460918,6.579251212,7.003065459,4.787491743,3.784189634,5.347107531,6.345636361,6.593044534
F,0,3.258096538,1.098612289,2.397895273,3.713572067,3.828641396,-2.673648774,2.48490665,-1.771956842,4.143134726,0.916290732,3.091042453,3.784189634,4.605170186,3.091042453,3.951243719,5.298317367,5.298317367,2.944438979,4.17438727,5.703782475,4.584967479,5.247024072
F,0,3.555348061,1.223775432,2.564949357,4.143134726,4.158883083,-1.609437912,2.564949357,-1.966112856,4.442651256,3.663561646,4.043051268,4.700480366,5.480638923,3.401197382,5.298317367,6.214608098,6.131226489,3.871201011,4.700480366,5.634789603,5.393627546,6.01615716
T,1,2.890371758,1.029619417,2.397895273,3.988984047,3.891820298,-2.040220829,2.397895273,-1.771956842,4.17438727,3.63758616,3.610917913,4.406719247,5.298317367,3.135494216,5.703782475,5.799092654,6.173786104,3.850147602,5.634789603,5.886104031,5.438079309,6.040254711
T,1,2.708050201,1.16315081,2.48490665,4.043051268,4.025351691,-1.897119985,2.564949357,-1.609437912,4.248495242,3.988984047,4.17438727,5.010635294,5.438079309,3.737669618,5.857933154,6.040254711,6.396929655,4.234106505,5.192956851,6.173786104,5.598421959,6.327936784
F,0,1.945910149,0.693147181,2.041220329,3.33220451,3.295836866,-2.659260037,2.219203484,-2.040220829,3.610917913,3.988984047,3.63758616,5.135798437,5.857933154,3.583518938,6.109247583,6.234410726,7.090076836,4.219507705,4.941642423,5.940171253,5.669880923,6.429719478
T,1,2.028148247,0.741937345,1.987874348,3.36729583,3.465735903,-2.465104022,2.292534757,-1.897119985,3.555348061,3.433987204,3.526360525,5.393627546,5.560681631,3.761200116,5.634789603,6.194405391,6.791221463,4.700480366,4.356708827,5.010635294,6.345636361,6.429719478
T,1,3.044522438,1.547562509,3.583518938,5.043425117,6.586171655,-0.634878272,3.688879454,-2.995732274,5.783825182,6.131226489,5.192956851,6.131226489,6.887552572,2.525728644,7.170119543,7.377758908,7.783224016,2.525728644,6.380122537,7.003065459,7.495541944,7.696212639
T,1,3.401197382,1.902107526,3.555348061,5.220355825,6.109247583,0.09531018,3.33220451,-2.207274913,5.509388337,4.700480366,5.135798437,5.736572297,6.327936784,5.075173815,6.756932389,6.697034248,7.090076836,5.075173815,5.799092654,7.003065459,6.721425701,7.60090246
T,1,2.995732274,1.740466175,3.295836866,5.062595033,5.480638923,-2.207274913,2.944438979,-2.995732274,5.537334267,4.86753445,5.247024072,5.799092654,5.799092654,3.912023005,6.461468176,6.413458957,6.756932389,5.298317367,6.131226489,7.170119543,6.672032945,7.170119543
T,1,3.33220451,1.757857918,3.36729583,5.123963979,5.703782475,-2.207274913,3.044522438,-2.995732274,5.424950017,5.164785974,5.634789603,6.194405391,6.558197803,4.532599493,7.170119543,6.690842277,7.549609165,5.669880923,6.336825731,7.34601021,7.047517221,7.34601021
T,1,3.36729583,1.62924054,3.295836866,5.062595033,5.351858133,-1.427116356,3.044522438,-2.040220829,5.105945474,4.86753445,5.247024072,5.799092654,6.214608098,4.204692619,6.507277712,6.461468176,6.672032945,5.075173815,5.886104031,6.887552572,6.507277712,6.802394763
T,1,2.079441542,0.405465108,2.128231706,3.688879454,3.891820298,-1.514127733,2.197224577,-0.916290732,3.784189634,5.247024072,5.799092654,6.866933284,7.170119543,5.010635294,7.090076836,7.170119543,7.313220387,5.634789603,6.131226489,7.090076836,7.313220387,7.863266724
T,1,0.875468737,0.09531018,2.292534757,1.589235205,2.397895273,-2.900422094,2.397895273,-2.995732274,2.708050201,0.916290732,0.916290732,1.902107526,1.704748092,0.916290732,0.916290732,2.219203484,2.772588722,0.916290732,0.916290732,2.00148,2.63905733,2.772588722
F,0,1.335001067,0.336472237,2.397895273,1.987874348,2.564949357,-2.3227878,2.63905733,-2.995732274,2.944438979,0.916290732,0.916290732,2.151762203,1.757857918,0.916290732,1.960094784,2.397895273,2.63905733,0.916290732,0.916290732,2.564949357,2.48490665,2.63905733
F,0,1.335001067,0.09531018,2.261763098,1.648658626,2.302585093,-3.015934981,2.48490665,-2.995732274,2.708050201,0.916290732,0.916290732,0.916290732,0.916290732,0.916290732,0.916290732,0.916290732,2.397895273,0.916290732,0.916290732,0.916290732,2.772588722,2.397895273
F,0,1.335001067,0.405465108,2.397895273,2.054123734,2.48490665,-3.381394754,2.564949357,-2.995732274,2.833213344,0.916290732,0.916290732,3.091042453,1.945910149,0.916290732,2.140066163,2.302585093,2.772588722,0.916290732,0.916290732,2.014903021,2.772588722,2.890371758
F,0,3.688879454,1.064710737,3.36729583,4.96284463,4.532599493,-0.776528789,3.295836866,-1.347073648,5.288267031,3.663561646,3.737669618,5.247024072,7.170119543,5.560681631,7.090076836,7.495541944,6.522092798,4.007333185,4.060443011,5.075173815,6.040254711,7.170119543
F,0,3.465735903,0.916290732,3.091042453,4.736198448,4.262679877,-1.108662625,3.091042453,-1.427116356,5.192956851,3.931825633,3.583518938,5.966146739,7.377758908,5.438079309,7.170119543,7.937374696,7.824046011,4.787491743,4.007333185,4.86753445,6.551080335,8.101677747
F,0,4.454347296,1.280933845,3.36729583,5.318119994,4.736198448,-1.203972804,3.401197382,-0.776528789,5.590986981,4.454347296,4.110873864,6.086774727,7.090076836,4.060443011,7.783224016,7.901007052,8.268731832,4.787491743,4.234106505,5.480638923,6.579251212,8.366370302
T,1,4.49980967,1.280933845,3.433987204,5.476463552,5.198497031,-0.693147181,3.951243719,-0.916290732,5.488937726,6.109247583,4.605170186,6.363028104,7.740664402,7.313220387,8.71604405,7.901007052,8.188689124,6.173786104,5.966146739,7.377758908,7.090076836,7.863266724
F,0,4.189654742,1.029619417,3.258096538,4.990432587,4.700480366,-0.916290732,4.025351691,-0.916290732,5.247024072,4.477336814,4.369447852,6.835184586,6.907755279,6.086774727,7.60090246,7.740664402,7.824046011,5.075173815,5.192956851,5.940171253,7.740664402,7.549609165
T,1,4.442651256,1.223775432,3.610917913,5.257495372,4.934473933,-0.713349888,3.663561646,-0.867500568,5.552959585,4.110873864,3.912023005,5.438079309,6.507277712,5.135798437,7.170119543,7.740664402,7.377758908,4.543294782,4.86753445,5.886104031,6.429719478,7.313220387
F,0,3.663561646,0.916290732,3.258096538,4.828313737,4.521788577,-1.272965676,3.135494216,-1.347073648,4.983606622,4.369447852,4.110873864,5.480638923,6.646390515,4.605170186,6.507277712,7.003065459,7.170119543,4.605170186,4.787491743,6.173786104,6.345636361,7.090076836
T,1,3.295836866,0.741937345,3.17805383,4.700480366,4.510859507,-0.967584026,3.044522438,-1.139434283,4.96284463,4.442651256,4.343805422,5.393627546,5.991464547,4.317488114,6.234410726,6.845879875,6.684611728,4.442651256,5.010635294,6.234410726,6.040254711,6.907755279
T,1,2.995732274,0.693147181,3.135494216,4.584967479,4.33073334,-1.514127733,3.135494216,-1.427116356,4.691347882,4.33073334,4.532599493,5.393627546,6.214608098,4.700480366,6.363028104,6.845879875,6.606650186,4.605170186,5.135798437,6.82437367,6.131226489,6.779921907
T,1,2.708050201,0.587786665,2.995732274,4.564348191,5.147494477,-1.171182982,3.044522438,-1.203972804,4.744932128,4.418840608,4.465908119,5.940171253,6.721425701,4.605170186,6.791221463,7.495541944,5.135798437,5.075173815,5.075173815,6.272877007,6.579251212,4.941642423
T,1,2.63905733,0.470003629,2.995732274,4.744932128,4.394449155,-1.714798428,2.995732274,-1.347073648,4.672828834,4.49980967,4.49980967,5.393627546,6.327936784,4.787491743,6.363028104,6.476972363,6.733401892,4.700480366,4.86753445,6.194405391,6.272877007,6.56526497
T,1,1.757857918,-0.478035801,1.686398954,2.63905733,2.116255515,-1.609437912,1.931521412,-1.609437912,3.044522438,0.916290732,2.054123734,3.258096538,3.258096538,0.916290732,3.737669618,4.127134385,4.276666119,2.151762203,3.737669618,3.135494216,3.737669618,4.17438727
T,1,3.218875825,0.587786665,3.044522438,4.418840608,4.234106505,-1.560647748,2.944438979,-0.867500568,4.553876892,3.931825633,4.382026635,5.010635294,5.736572297,3.80666249,5.913503006,6.327936784,6.536691598,4.454347296,5.075173815,6.507277712,6.040254711,6.461468176
T,1,2.48490665,1.029619417,2.197224577,3.688879454,3.737669618,-2.207274913,2.48490665,-1.347073648,3.713572067,3.988984047,3.295836866,4.418840608,4.700480366,2.944438979,4.86753445,5.135798437,5.521460918,3.433987204,5.247024072,5.991464547,5.247024072,5.669880923
T,1,3.663561646,1.223775432,2.708050201,5.739792912,5.713732806,-1.139434283,2.397895273,-0.579818495,5.33753808,6.214608098,6.327936784,5.940171253,6.56526497,4.700480366,7.377758908,6.82437367,7.313220387,6.29156914,6.507277712,7.649692624,7.003065459,7.377758908
T,1,2.302585093,0.336472237,2.564949357,4.060443011,3.891820298,-1.714798428,2.48490665,-0.916290732,4.65396035,5.043425117,5.075173815,6.152732695,6.380122537,5.075173815,6.856461985,6.745236349,7.313220387,4.644390899,5.828945618,6.802394763,6.779921907,7.34601021
T,1,2.48490665,0.641853886,2.564949357,4.262679877,4.356708827,-1.832581464,2.48490665,-0.693147181,4.787491743,4.787491743,4.700480366,5.736572297,5.799092654,3.871201011,6.173786104,6.131226489,6.887552572,5.010635294,5.598421959,6.522092798,6.345636361,6.877296071
T,1,2.251291799,0.405465108,2.48490665,3.828641396,3.871201011,-2.120263536,2.48490665,-1.272965676,4.143134726,4.094344562,4.025351691,4.700480366,4.605170186,3.36729583,5.192956851,5.857933154,6.309918278,4.510859507,5.393627546,6.309918278,5.828945618,6.173786104
F,0,2.772588722,0.78845736,2.772588722,3.713572067,4.060443011,-1.203972804,2.995732274,-1.609437912,4.094344562,5.075173815,4.33073334,6.01615716,6.173786104,5.135798437,6.907755279,6.476972363,6.907755279,5.480638923,5.247024072,5.799092654,6.845879875,7.170119543
T,1,2.995732274,0.916290732,2.890371758,4.204692619,4.59511985,-0.94160854,2.944438979,-1.272965676,4.382026635,5.966146739,4.941642423,5.799092654,7.003065459,5.438079309,6.887552572,7.244227516,7.170119543,6.194405391,6.086774727,7.090076836,7.003065459,7.090076836
T,1,3.465735903,1.131402111,2.772588722,5.043425117,4.644390899,-1.203972804,2.995732274,-0.820980552,4.510859507,5.075173815,4.691347882,6.327936784,6.499787041,4.700480366,6.727431725,7.038783541,7.43838353,5.247024072,5.579729826,5.697093487,6.768493212,7.408530567
T,1,7.34601021,2.772588722,2.48490665,7.714231145,6.927557906,1.16315081,3.135494216,-1.514127733,6.809039306,0.916290732,3.091042453,5.991464547,5.857933154,3.044522438,5.598421959,5.991464547,6.745236349,4.941642423,4.110873864,5.010635294,6.345636361,6.522092798
F,0,4.49980967,1.098612289,2.708050201,4.919980926,4.356708827,-0.527632742,2.944438979,-1.771956842,4.941642423,2.63905733,3.258096538,4.025351691,4.33073334,2.261763098,4.700480366,4.521788577,5.192956851,3.091042453,3.044522438,4.418840608,5.347107531,5.347107531
F,0,4.442651256,0.78845736,2.028148247,4.465908119,4.584967479,-1.966112856,2.302585093,-1.272965676,5.303304908,0.916290732,0.916290732,2.163323026,1.609437912,0.916290732,1.757857918,1.945910149,2.397895273,0.916290732,0.916290732,0.916290732,2.397895273,2.48490665
T,1,6.551080335,2.261763098,2.708050201,5.953243334,6.274762021,-0.891598119,3.33220451,-0.820980552,7.390181428,0.916290732,2.772588722,3.761200116,4.574710979,2.63905733,4.605170186,4.553876892,5.075173815,2.63905733,3.496507561,4.143134726,4.204692619,4.700480366
T,1,4.532599493,1.481604541,2.564949357,5.676753802,6.49375384,-1.237874356,2.48490665,-0.693147181,6.196444128,5.480638923,4.787491743,5.393627546,6.756932389,5.010635294,7.244227516,7.090076836,6.65929392,5.521460918,5.598421959,6.8134446,6.173786104,6.522092798
T,1,3.496507561,1.16315081,2.397895273,5.252273428,6.206575927,-1.609437912,2.397895273,-0.776528789,5.82008293,4.787491743,4.17438727,5.347107531,5.991464547,4.060443011,6.593044534,6.445719819,6.745236349,4.787491743,5.192956851,6.606650186,6.173786104,6.82437367
T,1,2.302585093,0.470003629,2.397895273,4.304065093,4.852030264,-1.832581464,2.397895273,-0.967584026,4.691347882,4.465908119,4.025351691,5.075173815,5.703782475,3.970291914,6.01615716,5.560681631,6.272877007,4.86753445,5.940171253,6.756932389,6.131226489,6.396929655
F,0,1.791759469,0.262364264,2.302585093,4.17438727,3.17805383,-1.771956842,2.116255515,-1.514127733,4.094344562,4.290459441,5.010635294,4.787491743,4.700480366,0.916290732,4.430816799,5.135798437,6.253828812,4.553876892,4.86753445,6.327936784,5.799092654,6.194405391
T,1,1.945910149,0.530628251,2.63905733,4.025351691,3.36729583,-1.049822124,2.302585093,-1.203972804,4.127134385,4.787491743,4.700480366,4.941642423,4.941642423,0.916290732,5.075173815,5.393627546,6.309918278,5.075173815,5.298317367,6.579251212,6.29156914,6.522092798
T,1,1.945910149,0.993251773,3.044522438,5.616771098,4.094344562,-1.966112856,3.688879454,-1.347073648,4.828313737,5.598421959,6.01615716,4.442651256,4.532599493,0.916290732,4.605170186,4.077537444,5.703782475,5.480638923,6.697034248,8.38935982,6.492239835,5.669880923
T,1,2.00148,-0.198450939,1.902107526,3.465735903,2.397895273,-2.364460497,2.041220329,-2.040220829,3.36729583,3.583518938,4.317488114,3.583518938,3.465735903,0.916290732,3.044522438,4.025351691,5.010635294,3.737669618,4.248495242,5.598421959,5.075173815,5.799092654
T,1,1.704748092,-0.15082289,2.091864062,3.36729583,2.397895273,-2.302585093,2.186051277,-1.771956842,3.401197382,3.295836866,3.80666249,3.663561646,3.713572067,0.916290732,3.80666249,4.234106505,4.941642423,3.465735903,4.700480366,5.669880923,5.010635294,4.700480366
F,0,,-1.237874356,,3.988984047,,-1.443923474,,-1.171182982,,5.075173815,5.247024072,6.396929655,6.445719819,4.787491743,6.633318433,6.791221463,7.244227516,5.247024072,5.135798437,6.697034248,7.244227516,7.649692624
F,0,,-2.040220829,,2.406945108,,-3.218875825,,-4.605170186,,1.208960346,0.765467842,1.791759469,1.280933845,1.252762968,1.62924054,1.648658626,2.564949357,1.223775432,1.871802177,2.140066163,1.945910149,2.564949357
F,0,,-2.040220829,,2.541601993,,-3.506557897,,-3.506557897,,1.871802177,1.609437912,3.555348061,3.871201011,1.481604541,4.394449155,4.454347296,4.787491743,1.704748092,2.63905733,2.772588722,4.48863637,4.787491743
T,1,,-0.94160854,,3.797733859,,-2.120263536,,-1.021651248,,1.131402111,0.741937345,3.663561646,4.290459441,0.741937345,4.025351691,4.700480366,5.438079309,3.33220451,3.610917913,3.555348061,5.135798437,5.480638923
T,1,,0.254642218,,4.605170186,,-1.386294361,,0.231111721,,4.248495242,2.564949357,5.347107531,6.086774727,4.077537444,5.886104031,6.476972363,7.377758908,4.700480366,3.17805383,3.737669618,6.56526497,7.170119543
T,1,,-0.562118918,,3.784189634,,-2.207274913,,-0.84397007,,1.029619417,0.615185639,3.401197382,4.521788577,0.500775288,4.343805422,5.010635294,5.768320996,2.995732274,3.17805383,2.944438979,4.86753445,5.828945618
T,1,,-0.693147181,,4.48863637,,-2.047942875,,0.31481074,,4.49980967,3.044522438,5.135798437,5.736572297,4.143134726,5.799092654,6.109247583,6.672032945,4.86753445,4.262679877,4.941642423,6.536691598,6.877296071
F,0,,-1.660731207,,3.597312261,,-2.024953356,,-1.427116356,,4.248495242,4.007333185,4.17438727,2.995732274,4.17438727,3.417726684,3.36729583,4.700480366,4.317488114,4.905274778,4.605170186,3.63758616,4.700480366
F,0,,-1.203972804,,3.511545439,,-2.830217835,,-1.966112856,,2.833213344,1.667706821,3.465735903,5.438079309,2.63905733,3.688879454,5.135798437,5.393627546,2.890371758,2.163323026,3.091042453,4.700480366,5.438079309
T,1,,-0.713349888,,3.770459441,,-2.18036746,,-1.049822124,,4.86753445,3.135494216,6.109247583,5.560681631,4.094344562,5.736572297,5.298317367,6.907755279,5.075173815,3.761200116,3.63758616,6.476972363,6.633318433
